ID,Flight Number,Origin,Destination,Status,Delay
222,DAL338  ,United States,1742059444,unknown,0
223,DAL980  ,United States,1742059445,unknown,0
224,EWG37M  ,Germany,1742059445,unknown,0
225,EWG1CT  ,Germany,1742059445,unknown,0
226,IGO6959 ,India,1742059444,unknown,0
227,AMX405  ,Mexico,1742059444,unknown,0
228,AAL1245 ,United States,1742059444,unknown,0
229,DLH4HP  ,Germany,1742059444,unknown,0
230,PGT67VP ,Turkey,1742059442,unknown,0
231,AAL3285 ,United States,1742059445,unknown,0
232,PGT1925 ,Turkey,1742059444,unknown,0
233,N2130F  ,United States,1742059155,unknown,0
234,DLH1TY  ,Germany,1742059445,unknown,0
235,DLH5RC  ,Germany,1742059445,unknown,0
236,DLH6LX  ,Germany,1742059444,unknown,0
237,DLH4WT  ,Germany,1742059445,unknown,0
238,LXJ547  ,United States,1742059445,unknown,0
239,N555GA  ,United States,1742059445,unknown,0
240,UAL2410 ,United States,1742059445,unknown,0
241,EWG8GL  ,Germany,1742059445,unknown,0
242,EWG4ER  ,Germany,1742059445,unknown,0
243,SWA2995 ,United States,1742059445,unknown,0
244,N818WF  ,United States,1742059445,unknown,0
245,DLH1769 ,Germany,1742059443,unknown,0
246,DAL602  ,United States,1742059445,unknown,0
247,N12082  ,United States,1742059206,unknown,0
248,DLH3KV  ,Germany,1742059445,unknown,0
249,DLH883  ,Germany,1742059444,unknown,0
250,AKJ135J ,India,1742059445,unknown,0
251,AEE90C  ,Greece,1742059444,unknown,0
252,N555EJ  ,United States,1742059445,unknown,0
253,AEE3LG  ,Greece,1742059445,unknown,0
254,N7243C  ,United States,1742059441,unknown,0
255,N6DM    ,United States,1742059445,unknown,0
256,EWG24E  ,Germany,1742059445,unknown,0
257,UAL2318 ,United States,1742059254,unknown,0
258,WJA2169 ,Canada,1742059438,unknown,0
259,AGR662  ,Kingdom of the Netherlands,1742059445,unknown,0
260,DLH1U   ,Germany,1742059445,unknown,0
261,UAL135  ,United States,1742059445,unknown,0
262,DLH687  ,Germany,1742059445,unknown,0
263,LNE612  ,Chile,1742059443,unknown,0
264,EWG4CM  ,Germany,1742059444,unknown,0
265,AZU2422 ,Brazil,1742059443,unknown,0
266,DLH7H   ,Germany,1742059445,unknown,0
267,EWG83Z  ,Germany,1742059445,unknown,0
268,OYCVW   ,Denmark,1742059445,unknown,0
269,N367LA  ,United States,1742059138,unknown,0
270,N24CR   ,United States,1742059445,unknown,0
271,N69FX   ,United States,1742059444,unknown,0
272,DAL835  ,United States,1742059445,unknown,0
273,N790TB  ,United States,1742059445,unknown,0
274,,United States,1742059439,unknown,0
275,WJA2198 ,Canada,1742059184,unknown,0
276,UAL501  ,United States,1742059445,unknown,0
277,AUA1LU  ,Austria,1742059445,unknown,0
278,AMX420  ,United States,1742059445,unknown,0
279,DAL2095 ,United States,1742059444,unknown,0
280,DWI5860 ,Dominican Republic,1742059424,unknown,0
281,N28RL   ,United States,1742059443,unknown,0
282,OUA24   ,United States,1742059301,unknown,0
283,EJM790  ,United States,1742059444,unknown,0
284,N11FT   ,United States,1742059425,unknown,0
285,N759R   ,United States,1742059445,unknown,0
286,N97154  ,United States,1742059445,unknown,0
287,ASA1337 ,United States,1742059444,unknown,0
288,N756DN  ,United States,1742059445,unknown,0
289,N434LA  ,United States,1742059444,unknown,0
290,SWA3909 ,United States,1742059444,unknown,0
291,AAL466  ,United States,1742059445,unknown,0
292,JBU1408 ,United States,1742059445,unknown,0
293,UAL1225 ,United States,1742059445,unknown,0
294,,United States,,unknown,0
295,FFT3222 ,United States,1742059445,unknown,0
296,AEE510  ,Greece,1742059444,unknown,0
297,GJS4179 ,United States,1742059445,unknown,0
298,AEE994  ,Greece,1742059445,unknown,0
299,AEE4CA  ,Greece,1742059445,unknown,0
300,JTL685  ,United States,1742059443,unknown,0
301,N617CB  ,United States,1742059444,unknown,0
302,DRL28   ,United States,1742059445,unknown,0
303,XAFGL   ,Mexico,1742059444,unknown,0
304,SCX573  ,United States,1742059246,unknown,0
305,DAL37   ,United States,1742059445,unknown,0
306,N553JB  ,United States,1742059419,unknown,0
307,N65Q    ,United States,1742059445,unknown,0
308,JZA554  ,Canada,1742059436,unknown,0
309,JIA5674 ,United States,1742059445,unknown,0
310,HI1025  ,Dominican Republic,1742059440,unknown,0
311,EJA759  ,United States,1742059445,unknown,0
312,JZA859  ,Canada,1742059444,unknown,0
313,N90829  ,United States,1742059445,unknown,0
314,SAS4448 ,Sweden,1742059445,unknown,0
315,SCX342  ,United States,1742059445,unknown,0
316,AUA212  ,Austria,1742059361,unknown,0
317,SKW103C ,United States,1742059445,unknown,0
318,SWA2026 ,United States,1742059445,unknown,0
319,NSZ8TQ  ,Norway,1742059445,unknown,0
320,RPA3544 ,United States,1742059444,unknown,0
321,UAL1328 ,United States,1742059422,unknown,0
322,UAL1912 ,United States,1742059444,unknown,0
323,EJU81RD ,Austria,1742059444,unknown,0
324,JBU753  ,United States,1742059445,unknown,0
325,UCA4904 ,United States,1742059445,unknown,0
326,N40NZ   ,United States,1742059323,unknown,0
327,,United States,1742059441,unknown,0
328,N65PG   ,United States,1742059445,unknown,0
329,SWA265  ,United States,1742059444,unknown,0
330,NBT0091 ,Norway,1742059444,unknown,0
331,ACW2731 ,Mexico,1742059444,unknown,0
332,N53KJ   ,United States,1742059443,unknown,0
333,CGBMF   ,Canada,1742059445,unknown,0
334,RPA3444 ,United States,1742059444,unknown,0
335,LPE2295 ,Chile,1742059389,unknown,0
336,UAL1567 ,United States,1742059445,unknown,0
337,CGBJJ   ,Canada,1742059445,unknown,0
338,TIV360  ,United States,1742059444,unknown,0
339,IGO1235 ,India,1742059445,unknown,0
340,UAL121  ,United States,1742059444,unknown,0
341,IGO278  ,India,1742059442,unknown,0
342,IGO13CY ,India,1742059302,unknown,0
343,ROU1697 ,Canada,1742059338,unknown,0
344,DAL2746 ,United States,1742059444,unknown,0
345,SKW4688 ,United States,1742059444,unknown,0
346,N4040   ,United States,1742059444,unknown,0
347,EJA156  ,United States,1742059445,unknown,0
348,WJA1029 ,Canada,1742059445,unknown,0
349,VJA803  ,United States,1742059444,unknown,0
350,OXF9832 ,United States,1742059445,unknown,0
351,SKW5647 ,United States,1742059442,unknown,0
352,THA331  ,Thailand,1742059206,unknown,0
353,N101GV  ,United States,1742059437,unknown,0
354,FFT4768 ,United States,1742059445,unknown,0
355,DAL273  ,United States,1742059445,unknown,0
356,N813BR  ,United States,1742059443,unknown,0
357,N401PH  ,United States,1742059199,unknown,0
358,SWA494  ,United States,1742059445,unknown,0
359,AAL2296 ,United States,1742059445,unknown,0
360,AAL891  ,United States,1742059444,unknown,0
361,N156RE  ,United States,1742059444,unknown,0
362,SIL136  ,United States,1742059445,unknown,0
363,AIC2546 ,India,1742059444,unknown,0
364,LXJ558  ,United States,1742059445,unknown,0
365,RPA4473 ,United States,1742059442,unknown,0
366,N255CE  ,United States,1742059443,unknown,0
367,INI261  ,Spain,1742059444,unknown,0
368,SDU162  ,United States,1742059426,unknown,0
369,NSZ5705 ,Sweden,1742059445,unknown,0
370,DAL2632 ,United States,1742059445,unknown,0
371,NSZ5362 ,Sweden,1742059445,unknown,0
372,AFR46YC ,France,1742059445,unknown,0
373,NSZ3616 ,Sweden,1742059445,unknown,0
374,NSZ3730 ,Sweden,1742059445,unknown,0
375,NSZ5700 ,Sweden,1742059445,unknown,0
376,NSZ83AH ,Sweden,1742059445,unknown,0
377,NSZ2877 ,Sweden,1742059444,unknown,0
378,N241MT  ,United States,1742059444,unknown,0
379,AIC2490 ,India,1742059271,unknown,0
380,ARG1517 ,Argentina,1742059240,unknown,0
381,TWY75   ,United States,1742059445,unknown,0
382,SEJ087  ,India,1742059443,unknown,0
383,N831P   ,United States,1742059166,unknown,0
384,SEJ905  ,India,1742059431,unknown,0
385,N831PB  ,United States,1742059445,unknown,0
386,DAL2575 ,United States,1742059230,unknown,0
387,SKW3699 ,United States,1742059445,unknown,0
388,SWG116  ,Canada,1742059438,unknown,0
389,JZA7988 ,Canada,1742059445,unknown,0
390,WCC36   ,United States,1742059445,unknown,0
391,NSZ9713 ,Sweden,1742059445,unknown,0
392,DAL1188 ,United States,1742059429,unknown,0
393,N275LL  ,United States,1742059445,unknown,0
394,,United Kingdom,1742059318,unknown,0
395,DAL1481 ,United States,1742059137,unknown,0
396,N500DE  ,United States,1742059445,unknown,0
397,NSZ2EP  ,Sweden,1742059444,unknown,0
398,AAL362  ,United States,1742059176,unknown,0
399,N26HM   ,United States,1742059444,unknown,0
400,DAL450  ,United States,1742059445,unknown,0
401,SEJ386  ,India,1742059445,unknown,0
402,00000000,United States,1742059445,unknown,0
403,ASA136  ,United States,1742059445,unknown,0
404,NOZ9089 ,Sweden,1742059444,unknown,0
405,NSZ2987 ,Sweden,1742059445,unknown,0
406,NSZ4528 ,Sweden,1742059445,unknown,0
407,PAL659  ,Philippines,1742059443,unknown,0
408,SWA2298 ,United States,1742059445,unknown,0
409,NSZ2CV  ,Sweden,1742059445,unknown,0
410,BAW35MM ,United Kingdom,1742059444,unknown,0
411,NSZ2911 ,Sweden,1742059444,unknown,0
412,N4773L  ,United States,1742059445,unknown,0
413,IBS1668 ,Spain,1742059444,unknown,0
414,N3117S  ,United States,1742059439,unknown,0
415,GES381L ,Spain,1742059445,unknown,0
416,DAL1570 ,United States,1742059445,unknown,0
417,GJS4395 ,United States,1742059445,unknown,0
418,HOOK59  ,United States,1742059441,unknown,0
419,EJM352  ,United States,1742059444,unknown,0
420,AZU2723 ,Brazil,1742059425,unknown,0
421,N939C   ,United States,1742059338,unknown,0
422,RWZ019  ,Russian Federation,1742058787,unknown,0
423,N9580J  ,United States,1742059445,unknown,0
424,IGO1001 ,India,1742059309,unknown,0
425,EWG24N  ,Germany,1742059445,unknown,0
426,AIC2437 ,India,1742059445,unknown,0
427,SJJ101  ,United States,1742059445,unknown,0
428,GLO7602 ,Brazil,1742059445,unknown,0
429,LXJ339  ,United States,1742059445,unknown,0
430,IGO1403 ,India,1742059414,unknown,0
431,SWA1491 ,United States,1742059444,unknown,0
432,AEA28FN ,Spain,1742059192,unknown,0
433,AAL793  ,United States,1742059444,unknown,0
434,N9563Q  ,United States,1742059445,unknown,0
435,AKJ585  ,India,1742059248,unknown,0
436,N277KE  ,United States,1742059445,unknown,0
437,CDG2116 ,China,1742059257,unknown,0
438,TAP047  ,Portugal,1742059445,unknown,0
439,TAP932  ,Portugal,1742059433,unknown,0
440,AIC2661 ,India,1742059445,unknown,0
441,ARG1353 ,Argentina,1742059445,unknown,0
442,EJU47KW ,Austria,1742059445,unknown,0
443,N900VP  ,United States,1742059442,unknown,0
444,N7246A  ,United States,1742059445,unknown,0
445,OXF8285 ,United States,1742059445,unknown,0
446,N8282V  ,United States,1742059444,unknown,0
447,WMT9QR  ,Hungary,1742059152,unknown,0
448,CGBHJ   ,Canada,1742059250,unknown,0
449,IGO5381 ,India,1742059444,unknown,0
450,WMT4NS  ,Hungary,1742059445,unknown,0
451,N900WR  ,United States,1742059445,unknown,0
452,WZZ63WH ,Hungary,1742059445,unknown,0
453,,United States,,unknown,0
454,TAP257N ,Portugal,1742059369,unknown,0
455,WMT785  ,Hungary,1742059444,unknown,0
456,MNE102  ,Montenegro,1742059445,unknown,0
457,FBZ5182 ,Argentina,1742059122,unknown,0
458,AWQ209  ,Indonesia,1742059443,unknown,0
459,AAY1124 ,United States,1742059444,unknown,0
460,SKW3630 ,United States,1742059445,unknown,0
461,TAM3265 ,Brazil,1742059445,unknown,0
462,RPA4468 ,United States,1742059445,unknown,0
463,N558FA  ,United States,1742059445,unknown,0
464,TAP209K ,Portugal,1742059445,unknown,0
465,TAP1906 ,Portugal,1742059444,unknown,0
466,DAL2787 ,United States,1742059445,unknown,0
467,FFT2792 ,United States,1742059423,unknown,0
468,KFB999  ,United States,1742059444,unknown,0
469,,United States,1742059434,unknown,0
470,DAL1182 ,United States,1742059445,unknown,0
471,CXK103  ,United States,1742059190,unknown,0
472,N28128  ,United States,1742059410,unknown,0
473,IBE07EE ,Spain,1742059444,unknown,0
474,N275ND  ,United States,1742059444,unknown,0
475,WMT4693 ,Hungary,1742059444,unknown,0
476,CFR612  ,United States,1742059165,unknown,0
477,FHUFA   ,France,1742059445,unknown,0
478,ROU1711 ,Canada,1742059445,unknown,0
479,N307SW  ,United States,1742059444,unknown,0
480,WMT238  ,Hungary,1742059440,unknown,0
481,DLH804  ,Germany,1742059445,unknown,0
482,DLH2YX  ,Germany,1742059445,unknown,0
483,EJU3748 ,Austria,1742059444,unknown,0
484,DLH1299 ,Germany,1742059445,unknown,0
485,N2111M  ,United States,1742059445,unknown,0
486,N652CR  ,United States,1742059444,unknown,0
487,VIV7332 ,Mexico,1742059444,unknown,0
488,WZZ88ZL ,Hungary,1742059445,unknown,0
489,N6UL    ,United States,1742059445,unknown,0
490,SWA3006 ,United States,1742059444,unknown,0
491,N9530H  ,United States,1742059426,unknown,0
492,WMT841  ,Hungary,1742059444,unknown,0
493,WMT704  ,Hungary,1742059444,unknown,0
494,FAD9224 ,Bulgaria,1742059445,unknown,0
495,AMX170  ,Mexico,1742059442,unknown,0
496,UAL477  ,United States,1742059445,unknown,0
497,EDV5001 ,United States,1742059445,unknown,0
498,FFT3546 ,United States,1742059445,unknown,0
499,PSCGL   ,Brazil,1742059444,unknown,0
500,DAL1981 ,United States,1742059445,unknown,0
501,IBE05BW ,Spain,1742059444,unknown,0
502,EJU97DR ,Austria,1742059445,unknown,0
503,,Indonesia,,unknown,0
504,UAL908  ,United States,1742059445,unknown,0
505,JIA5020 ,United States,1742059445,unknown,0
506,WZZ3ED  ,Hungary,1742059445,unknown,0
507,BCS961  ,Germany,1742059445,unknown,0
508,WZZ5879 ,Hungary,1742059445,unknown,0
509,N7WF    ,United States,1742059445,unknown,0
510,BCS6717 ,Germany,1742059445,unknown,0
511,AMX804  ,Mexico,1742059444,unknown,0
512,DLH275  ,Germany,1742059445,unknown,0
513,DLH1425 ,Germany,1742059445,unknown,0
514,WMT921  ,Hungary,1742059445,unknown,0
515,N72FF   ,United States,1742059445,unknown,0
516,WZZ6977 ,Hungary,1742059445,unknown,0
517,DLH2YN  ,Germany,1742059445,unknown,0
518,N357JT  ,United States,1742059445,unknown,0
519,WZZ66NU ,Hungary,1742059445,unknown,0
520,EJU63TP ,Austria,1742059444,unknown,0
521,WJA1599 ,Canada,1742059444,unknown,0
522,WUK7    ,United Kingdom,1742059445,unknown,0
523,N312JE  ,United States,1742059444,unknown,0
524,WZZ9MC  ,Hungary,1742059445,unknown,0
525,WMT6MA  ,Hungary,1742059353,unknown,0
526,NKS608  ,United States,1742059327,unknown,0
527,BCS6788 ,Germany,1742059445,unknown,0
528,NDL321  ,Canada,1742059177,unknown,0
529,DLH03F  ,Germany,,unknown,0
530,N116PS  ,United States,1742059445,unknown,0
531,N88AH   ,United States,,unknown,0
532,EJU59RW ,Austria,1742059444,unknown,0
533,        ,United States,,unknown,0
534,VTM0341 ,Mexico,1742059445,unknown,0
535,WUK1456 ,United Kingdom,1742059443,unknown,0
536,N2464D  ,United States,1742059303,unknown,0
537,BCS6359 ,Germany,1742059445,unknown,0
538,CAP541  ,United States,1742059445,unknown,0
539,WSN24   ,United States,1742059433,unknown,0
540,DLH7KF  ,Germany,1742059445,unknown,0
541,EXS86PF ,United Kingdom,1742059445,unknown,0
542,WZZ89QP ,Hungary,1742059445,unknown,0
543,SKW5955 ,United States,1742059445,unknown,0
544,DLH7T   ,Germany,1742059444,unknown,0
545,JVW474  ,Austria,1742059445,unknown,0
546,N199CM  ,United States,1742059445,unknown,0
547,UAL986  ,United States,1742059445,unknown,0
548,TAM3213 ,Brazil,1742059444,unknown,0
549,IGO1037 ,India,1742059445,unknown,0
550,WUK754  ,United Kingdom,1742059443,unknown,0
551,CFMMH   ,Canada,1742059445,unknown,0
552,EXS31WM ,United Kingdom,1742059444,unknown,0
553,WZZ675P ,Hungary,1742059445,unknown,0
554,CFMKZ   ,Canada,1742059445,unknown,0
555,FDX5393 ,United States,1742059444,unknown,0
556,HAL39   ,United States,1742059444,unknown,0
557,N3572M  ,United States,1742059445,unknown,0
558,WZZ65TR ,Hungary,1742059445,unknown,0
559,CAY200  ,United Kingdom,1742059438,unknown,0
560,ACA1040 ,Canada,1742059445,unknown,0
561,DAL1378 ,United States,1742059269,unknown,0
562,VLG72RT ,Spain,1742059295,unknown,0
563,EJA871  ,United States,1742059445,unknown,0
564,N257BC  ,United States,1742059444,unknown,0
565,TBL4    ,United States,1742059445,unknown,0
566,FGIEQ   ,France,1742059445,unknown,0
567,IBE05LD ,Spain,1742059445,unknown,0
568,TOM3CG  ,United Kingdom,1742059443,unknown,0
569,TOM87H  ,United Kingdom,1742059322,unknown,0
570,EXS168  ,United Kingdom,1742059444,unknown,0
571,DLH8P   ,Germany,1742059445,unknown,0
572,CXK1137 ,United States,1742059445,unknown,0
573,DLH718  ,Germany,1742059109,unknown,0
574,N26BT   ,United States,1742059444,unknown,0
575,AAY3115 ,United States,1742059445,unknown,0
